Auteur,identifiant cfr,prénom,nom,libellé,année de naissance,année de décès,uri
Dubois de Rochefort (Guillaume),5258,Guillaume,Dubois de Rochefort,Dubois de Rochefort (Guillaume),,,http://data.bnf.fr/ark:/12148/cb12460070j
Devaux (François-Antoine),5264,François-Antoine,Devaux,Devaux (François-Antoine),,,http://data.bnf.fr/ark:/12148/cb12202767g
Forgeot (Nicolas-Julien),5265,Nicolas-Julien,Forgeot,Forgeot (Nicolas-Julien),,,http://data.bnf.fr/ark:/12148/cb12463023r
Bellecour,5270,,,Bellecour,,,http://data.bnf.fr/ark:/12148/cb12086087f
Marivaux (Pierre de),5271,Pierre de,Marivaux,Marivaux (Pierre de),,,http://data.bnf.fr/ark:/12148/cb119146220
Robert,5273,,,Robert,,,http://data.bnf.fr/ark:/12148/cb16910059d
Desforges (Pierre-Jean-Baptiste Choudard),5283,Pierre-Jean-Baptiste Choudard,Desforges,Desforges (Pierre-Jean-Baptiste Choudard),,,http://data.bnf.fr/ark:/12148/cb11997731m
Dorvigny,5289,,,Dorvigny,,,http://data.bnf.fr/ark:/12148/cb12127824x
Brunet (Pierre-Nicolas),5290,Pierre-Nicolas,Brunet,Brunet (Pierre-Nicolas),,,http://data.bnf.fr/ark:/12148/cb161506287
Palissot de Montenoy (Charles),5293,Charles,Palissot de Montenoy,Palissot de Montenoy (Charles),,,http://data.bnf.fr/ark:/12148/cb119184692
Valois d'Orville (Adrien-Joseph de) ; Dubois,5302,Adrien-Joseph de,Valois d'Orville,Valois d'Orville (Adrien-Joseph de) ; Dubois,,,http://data.bnf.fr/ark:/12148/cb149549869
Boindin (Nicolas) ; La Motte (Antoine Houdar de),5305,Nicolas,Boindin,Boindin (Nicolas) ; La Motte (Antoine Houdar de),,,http://data.bnf.fr/ark:/12148/cb119994527
Vadé (Jean-Joseph),5313,Jean-Joseph,Vadé,Vadé (Jean-Joseph),,,http://data.bnf.fr/ark:/12148/cb120749381
Gouges (Olympe de),5314,Olympe de,Gouges,Gouges (Olympe de),,,http://data.bnf.fr/ark:/12148/cb119055055
Desmahis (Joseph-François-Edouard de Corsembleu),5331,Joseph-François-Edouard de Corsembleu,Desmahis,Desmahis (Joseph-François-Edouard de Corsembleu),,,http://data.bnf.fr/ark:/12148/cb12779741s
Brueys (David-Augustin de) ; Palaprat (Jean de),5332,David-Augustin de,Brueys,Brueys (David-Augustin de) ; Palaprat (Jean de),,,http://data.bnf.fr/ark:/12148/cb12178282q
Laujon (Pierre),5337,Pierre,Laujon,Laujon (Pierre),,,http://data.bnf.fr/ark:/12148/cb119885375
La Salle (Adrien-Nicolas),5345,Adrien-Nicolas,La Salle,La Salle (Adrien-Nicolas),,,http://data.bnf.fr/ark:/12148/cb12004607g
Dubois-Fontanelle (Joseph-Gaspard),5348,Joseph-Gaspard,Dubois-Fontanelle,Dubois-Fontanelle (Joseph-Gaspard),,,http://data.bnf.fr/ark:/12148/cb11900782z
Ronsin (Charles-Philippe),5351,Charles-Philippe,Ronsin,Ronsin (Charles-Philippe),,,http://data.bnf.fr/ark:/12148/cb125291574
Lemercier (Louis-Népomucène),5352,Louis-Népomucène,Lemercier,Lemercier (Louis-Népomucène),,,http://data.bnf.fr/ark:/12148/cb11912371w
Arnault (Antoine Vincent),5353,Antoine Vincent,Arnault,Arnault (Antoine Vincent),,,http://data.bnf.fr/ark:/12148/cb124648445
Ducis (Jean-François),5355,Jean-François,Ducis,Ducis (Jean-François),,,http://data.bnf.fr/ark:/12148/cb11900910n
Le Blanc de Guillet (Antoine),5358,Antoine,Le Blanc de Guillet,Le Blanc de Guillet (Antoine),,,http://data.bnf.fr/ark:/12148/cb12460062x
La Fosse (Antoine de),5359,Antoine de,La Fosse,La Fosse (Antoine de),,,http://data.bnf.fr/ark:/12148/cb124281195
Caux de Montlebert (Gilles de),5361,Gilles de,Caux de Montlebert,Caux de Montlebert (Gilles de),,,http://data.bnf.fr/ark:/12148/cb106587828
Longepierre (Hilaire-Bernard de),5363,Hilaire-Bernard de,Longepierre,Longepierre (Hilaire-Bernard de),,,http://data.bnf.fr/ark:/12148/cb12621593b
Clément (Jean Marie Bernard),5365,Jean Marie Bernard,Clément,Clément (Jean Marie Bernard),,,http://data.bnf.fr/ark:/12148/cb120010925
Morand (Pierre de),5366,Pierre de,Morand,Morand (Pierre de),,,http://data.bnf.fr/ark:/12148/cb15070578m
Fuzelier (Louis),5374,Louis,Fuzelier,Fuzelier (Louis),,,http://data.bnf.fr/ark:/12148/cb11997130m
Chamfort (Sébastien-Roch-Nicolas de),5377,Sébastien-Roch-Nicolas de,Chamfort,Chamfort (Sébastien-Roch-Nicolas de),,,http://data.bnf.fr/ark:/12148/cb11895962s
Dubuisson (Pierre-Ulric),5378,Pierre-Ulric,Dubuisson,Dubuisson (Pierre-Ulric),,,http://data.bnf.fr/ark:/12148/cb11900696c
Rousseau (Jean-Jacques),5381,Jean-Jacques,Rousseau,Rousseau (Jean-Jacques),,,http://data.bnf.fr/ark:/12148/cb119228797
Blin de Sainmore (Adrien-Michel-Hyacinthe),5389,Adrien-Michel-Hyacinthe,Blin de Sainmore,Blin de Sainmore (Adrien-Michel-Hyacinthe),,,http://data.bnf.fr/ark:/12148/cb12207208s
François de Neufchâteau (Nicolas),5390,Nicolas,François de Neufchâteau,François de Neufchâteau (Nicolas),,,http://data.bnf.fr/ark:/12148/cb119034131
Mailhol (Gabriel),5391,Gabriel,Mailhol,Mailhol (Gabriel),,,http://data.bnf.fr/ark:/12148/cb120011030
Belloy (Pierre Laurent de),5399,Pierre Laurent de,Belloy,Belloy (Pierre Laurent de),,,http://data.bnf.fr/ark:/12148/cb12127784h
Mauduit-Larive (Jean),5404,Jean,Mauduit-Larive,Mauduit-Larive (Jean),,,http://data.bnf.fr/ark:/12148/cb145445749
Bret (Antoine) ; Godard d'Aucour (Claude) ; Villaret (Claude),5406,Antoine,Bret,Bret (Antoine) ; Godard d'Aucour (Claude) ; Villaret (Claude),,,http://data.bnf.fr/ark:/12148/cb120444637
Sedaine (Michel-Jean),5407,Michel-Jean,Sedaine,Sedaine (Michel-Jean),,,http://data.bnf.fr/ark:/12148/cb12007007j
Durosoy (Barnabé Farmian),5410,Barnabé Farmian,Durosoy,Durosoy (Barnabé Farmian),,,http://data.bnf.fr/ark:/12148/cb12181724f
Corneille (Pierre),5412,Pierre,Corneille,Corneille (Pierre),,,http://data.bnf.fr/ark:/12148/cb11897704j
Ségur (Joseph-Alexandre de),5415,Joseph-Alexandre de,Ségur,Ségur (Joseph-Alexandre de),,,http://data.bnf.fr/ark:/12148/cb11924337d
Du Ryer (Pierre),5419,Pierre,Du Ryer,Du Ryer (Pierre),,,http://data.bnf.fr/ark:/12148/cb119007343
Renou (Antoine),5429,Antoine,Renou,Renou (Antoine),,,http://data.bnf.fr/ark:/12148/cb12634536f
Lesage (Alain-René),5433,Alain-René,Lesage,Lesage (Alain-René),,,http://data.bnf.fr/ark:/12148/cb11912638w
Rotrou (Jean de),5436,Jean de,Rotrou,Rotrou (Jean de),,,http://data.bnf.fr/ark:/12148/cb119227209
Doigny du Ponceau,5439,,,Doigny du Ponceau,,,http://data.bnf.fr/ark:/12148/cb121712047
Cordier de Saint-Firmin (Edmond),5443,Edmond,Cordier de Saint-Firmin,Cordier de Saint-Firmin (Edmond),,,http://data.bnf.fr/ark:/12148/cb121610363
Marignié (Jean-Étienne-François),5447,Jean-Étienne-François,Marignié,Marignié (Jean-Étienne-François),,,http://data.bnf.fr/ark:/12148/cb12449384t
La Chapelle (Jean de),5461,Jean de,La Chapelle,La Chapelle (Jean de),,,http://data.bnf.fr/ark:/12148/cb120041193
Campistron (Jean Galbert de),5465,Jean Galbert de,Campistron,Campistron (Jean Galbert de),,,http://data.bnf.fr/ark:/12148/cb12001061w
Quinault (Philippe),5489,Philippe,Quinault,Quinault (Philippe),,,http://data.bnf.fr/ark:/12148/cb120068979
Gomez (Madeleine-Angélique de),5499,Madeleine-Angélique de,Gomez,Gomez (Madeleine-Angélique de),,,http://data.bnf.fr/ark:/12148/cb120020091
Hénault (Charles-Jean-François),5505,Charles-Jean-François,Hénault,Hénault (Charles-Jean-François),,,http://data.bnf.fr/ark:/12148/cb12515502s
Gresset (Jean-Baptiste-Louis),5514,Jean-Baptiste-Louis,Gresset,Gresset (Jean-Baptiste-Louis),,,http://data.bnf.fr/ark:/12148/cb12063085m
Gilbert (Gabriel),5516,Gabriel,Gilbert,Gilbert (Gabriel),,,http://data.bnf.fr/ark:/12148/cb120583514
Pesselier (Charles-Étienne),5519,Charles-Étienne,Pesselier,Pesselier (Charles-Étienne),,,http://data.bnf.fr/ark:/12148/cb11919341n
La Font (Joseph de),5543,Joseph de,La Font,La Font (Joseph de),,,http://data.bnf.fr/ark:/12148/cb11997088n
Jolly (François Antoine),5550,François Antoine,Jolly,Jolly (François Antoine),,,http://data.bnf.fr/ark:/12148/cb162513620
Montfleury,5551,,,Montfleury,,,http://data.bnf.fr/ark:/12148/cb12097080g
Scarron (Paul),5553,Paul,Scarron,Scarron (Paul),,,http://data.bnf.fr/ark:/12148/cb11923895q
Brueys (David-Augustin de),5578,David-Augustin de,Brueys,Brueys (David-Augustin de),,,http://data.bnf.fr/ark:/12148/cb12178285r
Moncrif (François-Augustin Paradis de),5579,François-Augustin Paradis de,Moncrif,Moncrif (François-Augustin Paradis de),,,http://data.bnf.fr/ark:/12148/cb12006814s
Allainval (Léonor-Jean-Christine Soulas d'),5600,Léonor-Jean-Christine Soulas d',Allainval,Allainval (Léonor-Jean-Christine Soulas d'),,,http://data.bnf.fr/ark:/12148/cb11888467n
Le Noble (Eustache,5612,,,Le Noble (Eustache,,,http://data.bnf.fr/ark:/12148/cb11911725k
Corneille (Thomas) ; Donneau de Visé (Jean),5635,Thomas,Corneille,Corneille (Thomas) ; Donneau de Visé (Jean),,,http://data.bnf.fr/ark:/12148/cb119003987
Guérin d'Estriché (Nicolas-Armand-Martial),5638,Nicolas-Armand-Martial,Guérin d'Estriché,Guérin d'Estriché (Nicolas-Armand-Martial),,,http://data.bnf.fr/ark:/12148/cb134847673
Le Mascrier (Jean-Baptiste),5642,Jean-Baptiste,Le Mascrier,Le Mascrier (Jean-Baptiste),,,http://data.bnf.fr/ark:/12148/cb119965027
Audierne (Jacques),5645,Jacques,Audierne,Audierne (Jacques),,,http://data.bnf.fr/ark:/12148/cb10425836p
Auvigny (Jean du Castre d'),5648,Jean du Castre d',Auvigny,Auvigny (Jean du Castre d'),,,http://data.bnf.fr/ark:/12148/cb12006958p
Bernard (Catherine),5653,Catherine,Bernard,Bernard (Catherine),,,http://data.bnf.fr/ark:/12148/cb122142684
Rousseau (Jean-Baptiste),5665,Jean-Baptiste,Rousseau,Rousseau (Jean-Baptiste),,,http://data.bnf.fr/ark:/12148/cb11995357q
Grandval (Nicolas Racot de),5666,Nicolas Racot de,Grandval,Grandval (Nicolas Racot de),,,http://data.bnf.fr/ark:/12148/cb11997226n
Du Fresny (Charles),5672,Charles,Du Fresny,Du Fresny (Charles),,,http://data.bnf.fr/ark:/12148/cb119971627
Subligny (Adrien-Thomas Perdou de),5677,Adrien-Thomas Perdou de,Subligny,Subligny (Adrien-Thomas Perdou de),,,http://data.bnf.fr/ark:/12148/cb122146416
Barbier (Marie-Anne),5683,Marie-Anne,Barbier,Barbier (Marie-Anne),,,http://data.bnf.fr/ark:/12148/cb10613618v
Poisson (Philippe),5706,Philippe,Poisson,Poisson (Philippe),,,http://data.bnf.fr/ark:/12148/cb146310327
Tristan L'Hermite,5715,,,Tristan L'Hermite,,,http://data.bnf.fr/ark:/12148/cb11910225z
"Launay, De",5716,,,"Launay, De",,,http://data.bnf.fr/ark:/12148/cb12434366g
Raisin (Jacques),5721,Jacques,Raisin,Raisin (Jacques),,,http://data.bnf.fr/ark:/12148/cb10370819r
Legrand (Marc-Antoine),5742,Marc-Antoine,Legrand,Legrand (Marc-Antoine),,,http://data.bnf.fr/ark:/12148/cb11996101s
L'Affichard (Thomas),5748,Thomas,L'Affichard,L'Affichard (Thomas),,,http://data.bnf.fr/ark:/12148/cb129272490
Aunillon (Pierre-Charles-Fabiot),5751,Pierre-Charles-Fabiot,Aunillon,Aunillon (Pierre-Charles-Fabiot),,,http://data.bnf.fr/ark:/12148/cb12562028d
Roy (Pierre-Charles) ; La Font (Joseph de),5758,Pierre-Charles,Roy,Roy (Pierre-Charles) ; La Font (Joseph de),,,http://data.bnf.fr/ark:/12148/cb120864897
Le Clerc de La Bruère (Charles-Antoine),5777,Charles-Antoine,Le Clerc de La Bruère,Le Clerc de La Bruère (Charles-Antoine),,,http://data.bnf.fr/ark:/12148/cb119115507
Poisson (Raymond),5784,Raymond,Poisson,Poisson (Raymond),,,http://data.bnf.fr/ark:/12148/cb12403093p
Aigueberre (Jean Dumas d'),5789,Jean Dumas d',Aigueberre,Aigueberre (Jean Dumas d'),,,http://data.bnf.fr/ark:/12148/cb12166869g
Danchet (Antoine),5790,Antoine,Danchet,Danchet (Antoine),,,http://data.bnf.fr/ark:/12148/cb11995969c
Desmarets de Saint-Sorlin (Jean),5792,Jean,Desmarets de Saint-Sorlin,Desmarets de Saint-Sorlin (Jean),,,http://data.bnf.fr/ark:/12148/cb12082496j
Nadal (Augustin),5797,Augustin,Nadal,Nadal (Augustin),,,http://data.bnf.fr/ark:/12148/cb119173357
Tronchin (François),5798,François,Tronchin,Tronchin (François),,,http://data.bnf.fr/ark:/12148/cb104885046
Boursault (Edme),5799,Edme,Boursault,Boursault (Edme),,,http://data.bnf.fr/ark:/12148/cb118935281
Deschamps (François-Michel-Chrétien),5801,François-Michel-Chrétien,Deschamps,Deschamps (François-Michel-Chrétien),,,http://data.bnf.fr/ark:/12148/cb13007978p
Ferrier de la Martinière (Louis),5806,Louis,Ferrier de la Martinière,Ferrier de la Martinière (Louis),,,http://data.bnf.fr/ark:/12148/cb16238915d
"Boyer (Claude, abbé) ; Le Clerc (Michel)",5813,Claude,Boyer,"Boyer (Claude, abbé) ; Le Clerc (Michel)",,,http://data.bnf.fr/ark:/12148/cb12462221c
Corneille (Thomas),5844,Thomas,Corneille,Corneille (Thomas),,,http://data.bnf.fr/ark:/12148/cb11998611z
Belin (François),5859,François,Belin,Belin (François),,,http://data.bnf.fr/ark:/12148/cb12238860d
Crébillon (Prosper Jolyot de),5860,Prosper Jolyot de,Crébillon,Crébillon (Prosper Jolyot de),,,http://data.bnf.fr/ark:/12148/cb11998713x
Genest (Charles-Claude),5862,Charles-Claude,Genest,Genest (Charles-Claude),,,http://data.bnf.fr/ark:/12148/cb122243798
Saurin (Bernard-Joseph),5875,Bernard-Joseph,Saurin,Saurin (Bernard-Joseph),,,http://data.bnf.fr/ark:/12148/cb12002643v
Pradon (Nicolas),5911,Nicolas,Pradon,Pradon (Nicolas),,,http://data.bnf.fr/ark:/12148/cb12074883k
Piron (Alexis),5914,Alexis,Piron,Piron (Alexis),,,http://data.bnf.fr/ark:/12148/cb11919915r
Molière,20,,,,,,http://data.bnf.fr/ark:/12148/cb11916418p